country_code,report_date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
ITA,2021-12-22,5472469,136077,4933663,132337126,107646082,48086952,46318478,9554,1010,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-23,5517054,136245,4950780,133238576,108140530,48129730,46346714,9745,1023,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-24,5567644,136386,4970584,134168351,108378332,48144937,46359827,9850,1038,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-12-25,5622431,136530,4985435,135138103,108414983,48146572,46361928,9963,1071,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2021-12-26,5647313,136611,4993863,135355155,108598538,48163584,46370687,10309,1089,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2021-12-27,5678112,136753,5003855,135699123,109195667,48213839,46417468,10849,1126,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2021-12-28,5756412,136943,5020601,136733800,109847220,48273980,46459907,11234,1145,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2021-12-29,5854428,137091,5042472,137763229,110488151,48335083,46494246,11763,1185,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2021-12-30,5981428,137247,5064718,138913581,111070923,48391020,46526067,12092,1226,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2021-12-31,6125683,137402,5087297,140137606,111351925,48412723,46540181,12410,1260,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
ITA,2022-01-01,6267035,137513,5107729,141268542,111425093,48418102,46543675,12562,1297,NULL,2,2,2,1,2,-2,-2,3,2,3,2,3,5,3,80.21,73.15,80.95,75
